Verwaltungsbezirk_Nr.;Name;Wahlberechtigte_insgesamt;Wähler/-innen;Wahlbeteiligung;Ungültige_Stimmen;Gültige_Stimmen;CDU;SPD;GRÜNE;AfD;DIE_LINKE;FDP;PIRATEN;Tierschutzpartei;NPD;Die_PARTEI;FAMILIE;FREIE_WÄHLER;Volksabstimmung;ÖDP;DKP;MLPD;BP;SGP;TIERSCHUTZ_hier!;Tierschutzallianz;Bündnis_C;BIG;BGE;DIE_DIREKTE!;DiEM25;III._Weg;Die_Grauen;DIE_RECHTE;DIE_VIOLETTEN;LIEBE;DIE_FRAUEN;Graue_Panther;LKR;MENSCHLICHE_WELT;NL;ÖkoLinX;Die_Humanisten;PARTEI_FÜR_DIE_TIERE;Gesundheitsforschung;Volt;
5562;Kreis_Recklinghausen;469806;274015;58,33;0,82;99,18;25,44;23,4;18,45;11,37;4;5,82;0,7;1,93;0,18;2,23;0,91;0,57;0,17;0,33;0,04;0,08;0,06;0,01;0,26;0,17;0,07;0,49;0,06;0,07;0,18;0,02;0,25;0,08;0,08;0,08;0,13;0,27;0,07;0,07;0,04;0,05;0,16;0,29;0,16;0,42;99,16
5566;Kreis_Steinfurt;340622;221206;64,94;0,62;99,38;34,21;19,59;23,17;5,57;3,39;5,99;0,58;1,07;0,12;1,76;0,66;0,55;0,1;0,37;0,01;0,02;0,04;0,01;0,19;0,07;0,04;0,13;0,05;0,05;0,14;0,01;0,14;0,04;0,06;0,06;0,09;0,16;0,05;0,04;0,03;0,04;0,12;0,11;0,09;0,42;99,34
5570;Kreis_Warendorf;209212;135952;64,98;0,68;99,32;35,32;17,65;21,94;6,65;3,18;6,65;0,6;1,12;0,11;1,76;0,73;0,69;0,1;0,36;0,02;0,01;0,06;0,01;0,15;0,11;0,1;0,23;0,05;0,05;0,15;0,01;0,15;0,03;0,05;0,08;0,1;0,15;0,07;0,05;0,04;0,04;0,12;0,17;0,12;0,38;99,36
5711;Kreisfreie_Stadt_Bielefeld;237243;151344;63,79;0,74;99,26;21,54;18,68;27,94;7,6;6,51;5,45;0,79;1,41;0,11;3,19;0,54;0,58;0,11;0,52;0,05;0,05;0,06;0,01;0,15;0,11;0,34;0,64;0,09;0,05;0,42;0,01;0,16;0,07;0,07;0,09;0,1;0,17;0,09;0,07;0,04;0,18;0,22;0,14;0,12;0,78;99,25
5754;Kreis_Gütersloh;263291;164120;62,33;0,68;99,32;31,94;16,78;24,09;7,62;3,42;6,31;0,62;1,33;0,13;1,78;0,78;0,9;0,11;0,52;0,02;0,02;0,07;0,01;0,19;0,11;0,24;0,26;0,07;0,05;0,15;0,01;0,16;0,05;0,08;0,08;0,11;0,18;0,09;0,08;0,05;0,05;0,13;0,17;0,13;0,46;99,35
5758;Kreis_Herford;191048;113252;59,28;0,76;99,24;25,73;22,71;21,39;9,85;3,98;5,71;0,64;1,62;0,14;1,83;0,73;1,26;0,13;0,33;0,03;0,04;0,06;0;0,21;0,14;0,4;0,26;0,06;0,05;0,15;0,02;0,18;0,07;0,07;0,09;0,11;0,18;0,07;0,07;0,02;0,06;0,12;0,2;0,12;0,42;99,25
5762;Kreis_Höxter;111469;69376;62,24;0,87;99,13;39,56;16,34;16,81;8,14;3,13;6,41;0,63;1,21;0,17;1,68;0,92;0,7;0,12;0,71;0,02;0,01;0,08;0,01;0,17;0,09;0,17;0,14;0,05;0,03;0,11;0,02;0,17;0,06;0,06;0,12;0,12;0,18;0,08;0,05;0,05;0,04;0,12;0,19;0,12;0,35;99,14
5766;Kreis_Lippe;267750;164091;61,29;0,89;99,11;25,57;21,91;21,23;9,56;3,76;6,51;0,66;1,46;0,14;2,02;0,79;1,17;0,13;0,47;0,02;0,02;0,06;0;0,21;0,14;0,89;0,26;0,06;0,05;0,17;0,02;0,19;0,05;0,07;0,09;0,11;0,19;0,09;0,08;0,03;0,06;0,14;0,18;0,14;0,42;99,12
5770;Kreis_Minden-Lübbecke;240181;141876;59,07;0,76;99,24;27,23;23,3;20,43;9,03;3,57;6,14;0,66;1,37;0,16;2,03;0,71;0,79;0,14;0,41;0,03;0,02;0,04;0,01;0,16;0,12;0,62;0,16;0,08;0,04;0,16;0,02;0,19;0,06;0,06;0,08;0,09;0,17;0,12;0,06;0,04;0,05;0,15;0,19;0,13;0,43;99,25
5774;Kreis_Paderborn;230946;139286;60,31;0,71;99,29;35,62;13,67;22,52;7,99;3,55;6,6;0,68;1,19;0,11;2,28;0,74;0,62;0,13;0,46;0,02;0,01;0,06;0,01;0,17;0,1;0,29;0,22;0,06;0,05;0,23;0,01;0,15;0,04;0,07;0,11;0,13;0,15;0,09;0,05;0,04;0,06;0,22;0,14;0,11;0,52;99,27
